week,name,position,team,opp,bye_week,passing_yds,passing_tds,passing_int,rushing_att,rushing_yds,rushing_tds,receiving_tgt,receiving_rec,receiving_yds,receiving_tds,return_tds,twopt,fumbles,points,o_rank,projected,pct_rostered
1,M. Valdes-Scantling,WR,KC,Det,10,0,0,0,0,0,0,3.8,2.4,37.9,0.2,0,0,0,3.84,216,355,8%
1,G. Everett,TE,LAC,Mia,5,0,0,0,0,0,0,3.7,2.6,27.0,0.2,0,0,0,3.18,148,371,50%
1,B. Berrios,WR,Mia,@LAC,10,0,0,0,0.6,3.0,0.1,2.4,1.7,17.5,0.1,0.1,0,0.1,3.69,2075,372,1%
1,V. Jefferson,WR,LAR,@Sea,10,0,0,0,0.1,0.6,0,5.2,3.1,37.7,0.2,0,0,0,3.67,190,373,8%
1,M. Jones Jr.,WR,Det,@KC,9,0,0,0,0,0,0,3.8,2.3,27.2,0.2,0,0,0,2.90,343,374,2%
1,C. Edwards-Helaire,RB,KC,Det,10,0,0,0,4.9,23.6,0.2,1.4,1.3,9.5,0.1,0,0,0,3.65,160,375,20%
1,C. Davis,WR,NYJ,Buf,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,336,385,2%
1,C. Kmet,TE,Chi,GB,13,0,0,0,0,0,0,4.7,3.2,33.3,0.2,0,0,0,3.58,137,386,76%
1,P. Campbell,WR,NYG,Dal,13,0,0,0,0.5,3.1,0,4.9,3.2,34.9,0.2,0,0,0,3.54,238,390,4%
1,C. Claypool,WR,Chi,GB,13,0,0,0,0.6,2.3,0.0,3,1.8,23.8,0.2,0,0,0,2.71,259,397,4%
1,C. Brown,RB,Cin,@Cle,7,0,0,0,3.4,14.8,0.1,0.8,0.6,5.0,0.0,0,0,0.0,2.16,207,400,5%
1,R. James,WR,KC,Det,10,0,0,0,0.1,0.3,0,2.8,2.2,25.4,0.2,0,0,0,2.68,245,401,2%
1,L. Fournette,RB,TB,@Min,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.12,177,403,9%
1,C. Edmonds,RB,TB,@Min,5,0,0,0,2.7,10.3,0.1,3.1,2.4,17.0,0.2,0,0,0,3.45,283,404,3%
1,J. Johnson,TE,NO,Ten,11,0,0,0,0,0,0,4.6,2.9,31.5,0.3,0,0,0,3.89,146,413,30%
1,G. Dulcich,TE,Den,LV,9,0,0,0,0,0,0,4.9,3.3,33.7,0.2,0,0,0,3.37,152,417,57%
1,J. Reed,WR,GB,@Chi,6,0,0,0,0,0,0,4.1,2.6,27.9,0.2,0,0,0,3.33,213,423,7%
2,T. Tagovailoa,QB,Mia,@NE,10,248,1.8,0.7,2,5.2,0.1,0,0,0,0,0,0.1,0.2,15.24,105,7,94%
2,B. Purdy,QB,SF,@LAR,9,206,1.9,0.7,3.6,6.7,0.1,0,0,0,0,0,0.1,0.3,15.03,138,8,51%
2,J. Goff,QB,Det,Sea,9,255,1.7,0.9,0.7,2.7,0.0,0,0,0,0,0,0.1,0.2,14.88,140,9,73%
2,D. Watson,QB,Cle,@Pit,5,222,1.5,0.6,4.8,25.1,0.2,0,0,0,0,0,0.1,0.2,14.74,95,13,94%
2,R. Wilson,QB,Den,Was,9,235,1.5,0.7,3.5,15.7,0.2,0,0,0,0,0,0.1,0.2,14.25,155,15,61%
2,K. Cousins,QB,Min,@Phi,13,246,1.7,0.7,1.9,5.4,0.1,0,0,0,0,0,0.1,0.2,13.69,115,16,86%
2,D. Jones,QB,NYG,@Ari,13,215,1.2,0.7,5.8,33.1,0.2,0,0,0,0,0,0.1,0.2,13.64,87,17,89%
2,M. Stafford,QB,LAR,SF,10,254,1.6,0.9,0.9,3.6,0,0,0,0,0,0,0.1,0.2,13.23,189,18,35%
2,G. Smith,QB,Sea,@Det,5,226,1.6,0.7,2.6,9.9,0.1,0,0,0,0,0,0.1,0.2,13.01,103,19,85%
2,J. Love,QB,GB,@Atl,6,200,1.3,0.7,5.4,26.5,0.3,0,0,0,0,0,0.2,0.2,12.78,235,20,31%
2,D. Carr,QB,NO,@Car,11,232,1.5,0.7,0.8,3.8,0.1,0,0,0,0,0,0.1,0.2,12.46,170,21,48%
2,A. Richardson,QB,Ind,@Hou,11,198,1.2,0.7,6.6,32.8,0.3,0,0,0,0,0,0,0.2,11.81,101,22,85%
2,B. Young,QB,Car,NO,7,220,1.3,0.8,3.9,19.9,0.2,0,0,0,0,0,0.1,0.2,11.57,246,23,20%
2,S. Howell,QB,Was,@Den,14,219,1.4,0.8,3.5,13.9,0.2,0,0,0,0,0,0,0.3,11.43,167,24,19%
2,K. Pickett,QB,Pit,Cle,6,220,1.3,0.9,3.5,16.2,0.2,0,0,0,0,0,0.1,0.2,11.31,180,25,32%
2,R. Tannehill,QB,Ten,LAC,7,211,1.3,0.6,3.1,10.3,0.1,0,0,0,0,0,0.1,0.2,11.25,233,26,9%
2,J. Garoppolo,QB,LV,@Buf,13,233,1.5,0.8,0.4,1.2,0.1,0,0,0,0,0,0.1,0.3,11.21,224,27,15%
2,C. Stroud,QB,Hou,Ind,7,211,1.2,0.8,5.1,19.9,0.2,0,0,0,0,0,0.1,0.2,10.91,295,28,10%
2,M. Jones,QB,NE,Mia,11,230,1.4,0.9,2.2,7.3,0.1,0,0,0,0,0,0.1,0.2,10.79,240,29,9%
2,D. Ridder,QB,Atl,GB,11,198,1.2,0.8,3.7,15.1,0.2,0,0,0,0,0,0.1,0.3,10.03,287,34,6%
2,B. Mayfield,QB,TB,Chi,5,221,1.2,0.9,2.2,8.1,0.1,0,0,0,0,0,0.1,0.3,9.84,223,37,9%
2,C. McCoy,QB,Ari,NYG,14,219,1.1,0.9,3.3,14.1,0.1,0,0,0,0,0,0,0.2,9.43,314,42,2%
2,R. Penny,RB,Phi,Min,10,0,0,0,10.4,53.0,0.4,1.5,1.2,9.2,0.1,0,0.1,0.1,7.01,119,100,80%
2,J. Williams,RB,NO,@Car,11,0,0,0,12.3,50.2,0.4,2,1.5,11.8,0.1,0,0,0.1,6.80,93,110,87%
2,S. Perine,RB,Den,Was,9,0,0,0,9.9,42.2,0.3,3.3,2.6,19.7,0.1,0,0,0.1,6.31,96,129,72%
2,B. Robinson,RB,Was,@Den,14,0,0,0,12.6,51.5,0.3,1.9,1.5,10.5,0.1,0,0,0.1,6.26,89,133,86%
2,D. Harris,RB,Buf,LV,13,0,0,0,10.5,49.5,0.4,1.1,0.9,6.8,0.0,0,0,0.1,6.23,124,137,60%
2,G. Dortch,WR,Ari,NYG,14,0,0,0,0.1,0.7,0,3.6,2.5,25.4,0.1,0,0,0,6.01,316,149,1%
2,A. Gibson,RB,Was,@Den,14,0,0,0,5.8,24.3,0.2,3.9,3.0,23.0,0.2,0,0.0,0.1,5.99,88,150,84%
2,M. Pittman Jr.,WR,Ind,@Hou,11,0,0,0,0.4,2.0,0,8.1,5.5,61.6,0.3,0,0,0.1,5.93,64,153,93%
2,E. Mitchell,RB,SF,@LAR,9,0,0,0,10.4,49.9,0.4,1.1,0.9,6.4,0,0,0.1,0.1,5.81,122,158,60%
2,M. Hardman Jr.,WR,NYJ,@Dal,7,0,0,0,0.9,5.0,0.1,4.4,3.0,35.9,0.2,0.1,0,0,5.78,268,166,14%
2,K. Toney,WR,KC,@Jax,10,0,0,0,0.9,4.9,0.1,4.6,3.3,38.2,0.3,0.1,0,0.1,5.67,136,176,61%
2,Z. Charbonnet,RB,Sea,@Det,5,0,0,0,10.2,44.8,0.3,1.8,1.4,10.7,0.1,0,0,0.1,5.64,100,178,74%
2,D. Duvernay,WR,Bal,@Cin,13,0,0,0,0.4,2.3,0,2.1,1.2,13.8,0.1,0.1,0,0.1,5.57,318,182,2%
2,J. Ford,RB,Cle,@Pit,5,0,0,0,4.9,21.5,0.2,1.2,1.0,7.3,0.1,0,0,0.1,5.29,174,199,10%
2,B. Cooks,WR,Dal,NYJ,7,0,0,0,0.1,0.7,0,6.5,4.0,53.7,0.3,0,0,0.1,5.22,102,204,84%
2,T. Allgeier,RB,Atl,GB,11,0,0,0,9.6,41.7,0.3,1.5,1.1,7.9,0.1,0,0,0.1,5.18,114,206,53%
2,D. Foreman,RB,Chi,@TB,13,0,0,0,10.2,45.7,0.3,1.2,0.9,7.1,0,0,0,0.1,5.07,150,215,36%
2,R. Mostert,RB,Mia,@NE,10,0,0,0,8.3,37.7,0.3,1.6,1.2,9.4,0.1,0,0,0.1,5.07,130,216,49%
2,T. Burks,WR,Ten,LAC,7,0,0,0,0,0,0,6.6,4.0,52.0,0.3,0,0,0.1,4.98,118,223,69%
2,D. Achane,RB,Mia,@NE,10,0,0,0,7.6,34.6,0.2,2.6,2.0,16.4,0.1,0,0,0.1,4.97,144,225,48%
2,M. Thomas,WR,NO,@Car,11,0,0,0,0,0,0,6.4,4.5,49.8,0.3,0,0,0.1,4.93,116,230,83%
2,S. Moore,WR,KC,@Jax,10,0,0,0,0.5,3.1,0,4.5,3.3,38.0,0.3,0,0,0,4.79,108,244,65%
2,T. Boyd,WR,Cin,Bal,7,0,0,0,0.1,1.0,0,5.1,3.6,44.5,0.3,0,0,0.1,4.74,135,246,43%
2,D. Peoples-Jones,WR,Cle,@Pit,5,0,0,0,0.1,0.6,0,4.5,2.7,40.3,0.2,0,0.1,0.1,4.69,184,249,16%
2,K. Nwangwu,RB,Min,@Phi,13,0,0,0,1.4,5.6,0.0,0.4,0.3,2.3,0,0.1,0,0,4.65,2555,254,1%
2,C. Sutton,WR,Den,Was,9,0,0,0,0,0,0,5.4,3.3,46.5,0.3,0,0,0.1,4.62,98,255,68%
2,K. Shakir,WR,Buf,LV,13,0,0,0,0.1,0.9,0,4.8,3.1,41.0,0.3,0,0,0,4.58,244,258,4%
2,J. Agnew,WR,Jax,KC,9,0,0,0,0.9,5.1,0.1,2.2,1.6,15.3,0.1,0.1,0,0,4.56,1916,260,1%
2,J. Smith-Schuster,WR,NE,Mia,11,0,0,0,0.4,1.8,0,6.7,4.5,48.1,0.2,0,0,0.1,4.53,111,261,72%
2,J. Wilson Jr.,RB,Mia,@NE,10,0,0,0,7.6,32.5,0.2,1.9,1.5,11.0,0.1,0,0,0.1,4.52,125,263,32%
2,B. Berrios,WR,Mia,@NE,10,0,0,0,0.8,4.0,0.1,3.3,2.3,23.8,0.2,0.1,0,0.1,4.52,2075,265,1%
2,K. Raymond,WR,Det,Sea,9,0,0,0,0.2,1.5,0,3.3,2.2,24.8,0.2,0.1,0,0,4.47,1865,272,1%
2,R. Moore,WR,Ari,NYG,14,0,0,0,0.7,4.9,0.1,5.4,3.7,35.9,0.2,0,0,0.1,4.40,192,278,18%
2,R. Bateman,WR,Bal,@Cin,13,0,0,0,0,0,0,5.2,3.2,43.3,0.3,0,0,0.1,4.38,99,280,61%
2,Q. Johnston,WR,LAC,@Ten,5,0,0,0,0.1,0.3,0,5.1,3.4,44.4,0.3,0,0,0.1,4.37,126,282,56%
2,A. Lazard,WR,NYJ,@Dal,7,0,0,0,0.1,0.6,0,5.1,3.3,41.3,0.3,0,0,0,4.37,132,285,50%
2,A. Thielen,WR,Car,NO,7,0,0,0,0,0,0,5.6,3.8,41.2,0.3,0,0,0.1,4.36,134,286,47%
2,D. Singletary,RB,Hou,Ind,7,0,0,0,7.4,31.2,0.2,2.1,1.5,11.4,0.0,0,0,0.1,4.35,158,289,27%
2,E. Moore,WR,Cle,@Pit,5,0,0,0,0.5,3.4,0,5,3.3,39.5,0.3,0,0,0.1,4.24,97,300,70%
2,C. Hubbard,RB,Car,NO,7,0,0,0,7.2,30.4,0.2,1.6,1.3,9.2,0.1,0,0,0.1,4.18,162,310,16%
2,J. Meyers,WR,LV,@Buf,13,0,0,0,0.1,0.4,0,6.2,4.1,44.2,0.2,0,0,0.1,4.16,117,313,47%
2,J. McKinnon,RB,KC,@Jax,10,0,0,0,2.8,12.0,0.1,3.9,3.2,22.8,0.2,0,0,0.1,4.14,106,316,61%
2,Z. Jones,WR,Jax,KC,9,0,0,0,0.1,0.7,0,5.6,3.8,42.1,0.2,0,0,0.1,4.09,159,317,30%
2,Z. Flowers,WR,Bal,@Cin,13,0,0,0,0.3,2.4,0.0,4.2,2.4,34.1,0.2,0,0,0,4.08,121,321,62%
2,R. Doubs,WR,GB,@Atl,6,0,0,0,0.1,0.3,0,4.5,3.0,35.7,0.3,0,0,0,4.07,145,322,31%
2,A. Pierce,WR,Ind,@Hou,11,0,0,0,0.1,0.3,0,4.5,2.7,37.4,0.3,0,0,0,4.06,193,323,8%
2,W. Robinson,WR,NYG,@Ari,13,0,0,0,1.0,5.8,0.1,4.2,2.9,34.3,0.2,0,0,0,4.05,239,325,5%
2,C. Samuel,WR,Was,@Den,14,0,0,0,1.3,7.0,0.1,4.6,3.2,32.7,0.2,0,0,0,4.01,178,330,12%
2,M. Gallup,WR,Dal,NYJ,7,0,0,0,0,0,0,5,3.0,39.2,0.2,0,0,0,3.95,139,336,28%
2,J. Smith-Njigba,WR,Sea,@Det,5,0,0,0,0.1,0.6,0,5.1,3.5,39.1,0.2,0,0,0.1,3.95,94,337,83%
2,O. Beckham Jr.,WR,Bal,@Cin,13,0,0,0,0.1,0.7,0,4.6,3.0,34.8,0.3,0,0,0,3.94,129,340,74%
2,R. Rice,WR,KC,@Jax,10,0,0,0,0,0,0,4.2,2.9,35.8,0.3,0,0,0,3.83,156,350,40%
2,M. Carter,RB,NYJ,@Dal,7,0,0,0,6.1,25.4,0.2,2.1,1.6,12.0,0.1,0,0,0,3.83,241,351,7%
2,C. Patterson,RB,Atl,GB,11,0,0,0,4.7,20.2,0.1,1,0.8,5.7,0.1,0.1,0,0.1,3.74,222,359,14%
2,P. Campbell,WR,NYG,@Ari,13,0,0,0,0.6,3.2,0,4.9,3.4,36.8,0.2,0,0,0,3.72,238,360,4%
2,C. Claypool,WR,Chi,@TB,13,0,0,0,0.6,3.0,0.1,3.9,2.3,30.9,0.2,0,0,0,3.67,259,370,4%
2,M. Jones Jr.,WR,Det,Sea,9,0,0,0,0,0,0,4.8,3.0,34.4,0.2,0,0,0,3.66,343,371,2%
2,C. Kmet,TE,Chi,@TB,13,0,0,0,0,0,0,4.7,3.2,33.3,0.2,0,0,0,3.58,137,378,76%
2,G. Everett,TE,LAC,@Ten,5,0,0,0,0,0,0,4.3,3.0,30.4,0.3,0,0,0,3.58,148,379,50%
2,D. Schultz,TE,Hou,Ind,7,0,0,0,0,0,0,4.8,3.2,33.1,0.2,0,0,0,3.57,141,380,71%
2,C. Davis,WR,NYJ,@Dal,7,0,0,0,0,0,0,3.9,2.2,32.2,0.2,0,0,0,3.56,336,381,2%
2,K. Osborn,WR,Min,@Phi,13,0,0,0,0.1,0.4,0,4.6,2.8,32.8,0.2,0,0,0,3.55,173,383,10%
2,R. Woods,WR,Hou,Ind,7,0,0,0,0.5,2.8,0,4.9,3.3,35.4,0.2,0,0,0,3.53,266,386,4%
2,C. Edwards-Helaire,RB,KC,@Jax,10,0,0,0,4.9,21.2,0.2,1.4,1.1,8.6,0.1,0,0,0,3.52,160,392,20%
2,M. Valdes-Scantling,WR,KC,@Jax,10,0,0,0,0,0,0,3.8,2.2,34.4,0.2,0,0,0,3.48,216,396,8%
2,C. Brown,RB,Cin,Bal,7,0,0,0,5.4,23.6,0.2,1.3,1.0,8.2,0.1,0,0,0.1,3.48,207,397,5%
2,N. Collins,WR,Hou,Ind,7,0,0,0,0,0,0,5.1,3.0,37.2,0.2,0,0,0,3.47,109,398,42%
2,J. Reed,WR,GB,@Atl,6,0,0,0,0,0,0,4.1,2.7,28.9,0.2,0,0,0,3.46,213,403,7%
