week,name,position,team,opp,bye_week,passing_yds,passing_tds,passing_int,rushing_att,rushing_yds,rushing_tds,receiving_tgt,receiving_rec,receiving_yds,receiving_tds,return_tds,twopt,fumbles,points,o_rank,projected,pct_rostered
1,T. Tagovailoa,QB,Mia,@LAC,10,251,1.8,0.7,2,5.2,0.1,0,0,0,0,0,0.1,0.2,16.42,105,8,94%
1,D. Prescott,QB,Dal,@NYG,7,238,1.7,0.7,3.7,15.6,0.2,0,0,0,0,0,0.1,0.2,15.65,92,10,95%
1,D. Watson,QB,Cle,Cin,5,231,1.6,0.7,4.8,25.6,0.2,0,0,0,0,0,0.1,0.2,15.29,95,11,94%
1,J. Goff,QB,Det,@KC,9,261,1.8,0.9,1.1,4.3,0.1,0,0,0,0,0,0.1,0.2,15.22,140,12,73%
1,G. Smith,QB,Sea,LAR,5,229,1.6,0.7,2.6,10.8,0.1,0,0,0,0,0,0.1,0.2,14.15,103,14,85%
1,R. Wilson,QB,Den,LV,9,216,1.4,0.6,3.5,15.6,0.2,0,0,0,0,0,0.1,0.2,13.67,155,15,61%
1,K. Cousins,QB,Min,TB,13,260,1.8,0.8,1.9,6.0,0.1,0,0,0,0,0,0.1,0.2,15.62,115,16,86%
1,B. Purdy,QB,SF,@Pit,9,199,1.4,0.6,3.5,10.4,0.2,0,0,0,0,0,0.1,0.2,13.69,138,17,51%
1,D. Jones,QB,NYG,Dal,13,211,1.2,0.7,6.6,35.7,0.3,0,0,0,0,0,0.1,0.3,13.17,87,18,89%
1,D. Carr,QB,NO,Ten,11,242,1.6,0.8,0.8,3.8,0.1,0,0,0,0,0,0.1,0.2,12.90,170,19,48%
1,A. Richardson,QB,Ind,Jax,11,184,1.1,0.7,9,43.0,0.3,0,0,0,0,0,0,0.2,12.29,101,20,85%
1,J. Love,QB,GB,@Chi,6,218,1.4,0.7,4.9,20.1,0.3,0,0,0,0,0,0.2,0.3,12.89,235,21,31%
1,S. Howell,QB,Was,Ari,14,222,1.4,0.8,4.4,18.2,0.2,0,0,0,0,0,0,0.3,12.35,167,22,19%
1,M. Stafford,QB,LAR,@Sea,10,243,1.6,0.8,0.9,3.6,0.0,0,0,0,0,0,0.1,0.2,11.85,189,23,35%
1,J. Garoppolo,QB,LV,@Den,13,236,1.5,0.8,0.7,2.1,0.1,0,0,0,0,0,0.1,0.3,11.62,224,24,15%
1,B. Young,QB,Car,@Atl,7,206,1.2,0.8,3.9,18.6,0.2,0,0,0,0,0,0.1,0.2,10.49,246,29,20%
1,D. Ridder,QB,Atl,Car,11,195,1.1,0.8,3.7,15.2,0.2,0,0,0,0,0,0.1,0.3,10.04,287,32,6%
1,R. Tannehill,QB,Ten,@NO,7,195,1.2,0.6,2.9,9.3,0.1,0,0,0,0,0,0.1,0.2,9.96,233,34,9%
1,K. Pickett,QB,Pit,SF,6,205,1.2,0.9,3.5,15.0,0.2,0,0,0,0,0,0.1,0.2,9.80,180,36,32%
1,M. Jones,QB,NE,Phi,11,216,1.3,0.9,2.2,7.0,0.1,0,0,0,0,0,0.1,0.2,9.73,240,37,9%
1,B. Mayfield,QB,TB,@Min,5,242,1.3,0.9,3.1,10.9,0.1,0,0,0,0,0,0.1,0.3,10.11,223,40,9%
1,C. Stroud,QB,Hou,@Bal,7,189,1.1,0.8,5.2,18.3,0.2,0,0,0,0,0,0.1,0.3,8.97,295,48,10%
1,C. McCoy,QB,Ari,@Was,14,179,1.1,0.7,3.9,12.7,0.1,0,0,0,0,0,0,0.2,8.61,314,51,2%
1,A. Gibson,RB,Was,Ari,14,0,0,0,6,26.0,0.2,5.6,4.5,34.2,0.2,0,0.0,0.1,7.33,88,88,84%
1,J. Williams,RB,NO,Ten,11,0,0,0,11,44.7,0.4,2,1.5,11.8,0.1,0,0,0.1,6.16,93,97,87%
1,K. Nwangwu,RB,Min,TB,13,0,0,0,1.6,7.2,0.1,2,1.7,12.6,0.1,0.1,0,0,6.13,2555,134,1%
1,J. Ford,RB,Cle,Cin,5,0,0,0,6.4,28.2,0.2,1.2,1,7.5,0.1,0,0,0.1,6.06,174,136,10%
1,R. Penny,RB,Phi,@NE,10,0,0,0,8.1,41.1,0.3,0.6,0.5,3.7,0.0,0,0.1,0.0,5.15,119,137,80%
1,S. Perine,RB,Den,LV,9,0,0,0,10.8,45.7,0.4,2.7,2.2,16.0,0.1,0,0,0.1,6.47,96,141,72%
1,R. McCloud III,WR,SF,@Pit,9,0,0,0,0.2,1.3,0,2.5,1.6,16.4,0.1,0.1,0,0,6.12,2320,142,1%
1,D. Duvernay,WR,Bal,Hou,13,0,0,0,0.5,2.5,0,2.1,1.4,15.3,0.1,0.1,0,0.1,6.06,318,147,2%
1,Z. Charbonnet,RB,Sea,LAR,5,0,0,0,9.2,43.0,0.3,2.5,2.1,16.1,0.1,0,0,0.1,5.84,100,159,74%
1,M. Hardman Jr.,WR,NYJ,Buf,7,0,0,0,0.9,3.6,0.1,3.1,2.2,25.5,0.2,0.1,0,0,4.55,268,161,14%
1,B. Cooks,WR,Dal,@NYG,7,0,0,0,0.1,0.8,0,6.5,4.1,55.6,0.3,0,0,0.1,5.39,102,186,84%
1,S. Moore,WR,KC,Det,10,0,0,0,0.6,3.4,0,4.5,3.6,41.9,0.3,0,0,0,5.29,108,196,65%
1,T. Allgeier,RB,Atl,Car,11,0,0,0,9.6,42.1,0.3,1.5,1.1,7.9,0.1,0,0,0.1,5.23,114,200,53%
1,D. Foreman,RB,Chi,GB,13,0,0,0,8,35.9,0.2,1.2,0.9,7.1,0.0,0,0,0.1,4.17,150,207,36%
1,E. Mitchell,RB,SF,@Pit,9,0,0,0,9.2,42.4,0.3,1.1,0.8,6.2,0.0,0,0.1,0.1,5.13,122,209,60%
1,R. Mostert,RB,Mia,@LAC,10,0,0,0,9,41.2,0.3,1.6,1.3,9.5,0.1,0,0,0.1,5.47,130,212,49%
1,K. Toney,WR,KC,Det,10,0,0,0,0.8,4.2,0.1,3.6,2.9,33.1,0.3,0.1,0,0.1,5.11,136,214,61%
1,E. Moore,WR,Cle,Cin,5,0,0,0,0.5,4,0,5.9,3.9,46.8,0.3,0,0,0.1,5.00,97,223,70%
1,M. Pittman Jr.,WR,Ind,Jax,11,0,0,0,0.4,1.4,0,6.1,4.0,44.6,0.2,0,0,0.0,4.27,64,224,93%
1,M. Thomas,WR,NO,Ten,11,0,0,0,0,0,0,6.4,4.5,49.5,0.3,0,0,0.1,4.92,116,230,83%
1,T. Burks,WR,Ten,@NO,7,0,0,0,0,0,0,5.1,3.0,38.7,0.2,0,0,0.1,3.66,118,232,69%
1,D. Harris,RB,Buf,@NYJ,13,0,0,0,7.5,34.0,0.3,1.1,0.9,6.6,0.0,0,0,0.0,4.28,124,238,60%
1,Q. Johnston,WR,LAC,Mia,5,0,0,0,0.1,0.3,0,4.9,3.3,43.9,0.3,0,0,0.1,4.61,126,239,56%
1,D. Peoples-Jones,WR,Cle,Cin,5,0,0,0,0.1,0.6,0,4.5,2.8,41.0,0.2,0,0.1,0.1,4.77,184,244,16%
1,J. Smith-Schuster,WR,NE,Phi,11,0,0,0,0.4,1.9,0,7.3,4.8,50.8,0.3,0,0,0.1,4.76,111,245,72%
1,J. Agnew,WR,Jax,@Ind,9,0,0,0,1.0,5.3,0.1,2.2,1.6,16.0,0.1,0.1,0,0,4.73,1916,253,1%
1,T. Boyd,WR,Cin,@Cle,7,0,0,0,0.1,0.9,0,4.6,3.2,39.9,0.3,0,0,0.1,4.27,135,254,43%
1,G. Dortch,WR,Ari,@Was,14,0,0,0,0.1,0.7,0,3.6,2.3,23.6,0.1,0,0,0,4.67,316,261,1%
1,C. Patterson,RB,Atl,Car,11,0,0,0,3.9,17.0,0.1,2.2,1.7,13.5,0.1,0.1,0,0.1,4.31,222,265,14%
1,C. Sutton,WR,Den,LV,9,0,0,0,0,0,0,5.4,3.3,46.1,0.3,0,0,0.1,4.58,98,268,68%
1,R. Bateman,WR,Bal,Hou,13,0,0,0,0,0,0,4.9,3.3,45.3,0.3,0,0,0.1,4.54,99,272,61%
1,D. Achane,RB,Mia,@LAC,10,0,0,0,3.6,16.6,0.1,1.7,1.4,10.7,0.0,0,0,0.0,2.60,144,277,48%
1,K. Raymond,WR,Det,@KC,9,0,0,0,0.2,1.9,0,4.1,2.8,30.8,0.2,0.1,0,0,5.13,1865,279,1%
1,G. Edwards,RB,Bal,Hou,13,0,0,0,9.6,50.9,0.4,0.7,0.6,4.1,0,0,0,0,5.89,182,280,14%
1,R. Doubs,WR,GB,@Chi,6,0,0,0,0.1,0.3,0,5.1,3.3,38.9,0.3,0,0,0,4.45,145,281,31%
1,Z. Flowers,WR,Bal,Hou,13,0,0,0,0.4,2.7,0.0,4.2,2.6,38.0,0.3,0,0,0,4.43,121,284,62%
1,K. Shakir,WR,Buf,@NYJ,13,0,0,0,0.1,0.4,0,2.1,1.3,17.3,0.1,0,0,0,1.98,244,286,4%
1,A. Lazard,WR,NYJ,Buf,7,0,0,0,0.1,0.6,0,4.6,3.0,37.6,0.3,0,0,0,3.96,132,287,50%
1,O. Beckham Jr.,WR,Bal,Hou,13,0,0,0,0.1,0.7,0,4.6,3.3,38.6,0.3,0,0,0,4.37,129,288,74%
1,J. Smith-Njigba,WR,Sea,LAR,5,0,0,0,0.1,0.4,0,3,2.3,27.7,0.2,0,0,0.0,2.71,94,300,83%
1,J. Meyers,WR,LV,@Den,13,0,0,0,0.1,0.4,0,5.3,3.6,38.9,0.2,0,0,0.1,3.69,117,303,47%
1,Z. Jones,WR,Jax,@Ind,9,0,0,0,0.1,0.6,0,4.7,3.3,36.8,0.2,0,0,0.1,3.57,159,304,30%
1,C. Samuel,WR,Was,Ari,14,0,0,0,1.3,6.2,0.1,3.9,2.8,28.7,0.2,0,0,0,3.51,178,316,12%
1,N. Collins,WR,Hou,@Bal,7,0,0,0,0,0,0,6.8,3.6,44.6,0.2,0,0,0,4.14,109,318,42%
1,J. Wilson Jr.,RB,Mia,@LAC,10,0,0,0,6.6,28.5,0.2,1.9,1.5,11.1,0.1,0,0,0.1,4.13,125,320,32%
1,R. Moore,WR,Ari,@Was,14,0,0,0,0.7,4.5,0.1,5.4,3.4,33.4,0.2,0,0,0.1,4.11,192,324,18%
1,M. Gallup,WR,Dal,@NYG,7,0,0,0,0,0,0,5,3.1,40.6,0.2,0,0,0,4.09,139,325,28%
1,A. Thielen,WR,Car,@Atl,7,0,0,0,0,0,0,5.1,3.2,35.2,0.3,0,0,0.1,3.73,134,327,47%
1,J. McKinnon,RB,KC,Det,10,0,0,0,2.8,13.3,0.1,3.9,3.6,25.2,0.2,0,0,0.1,4.09,106,328,61%
1,K. Gainwell,RB,Phi,@NE,10,0,0,0,7.3,33.5,0.2,2.5,1.9,14,0.1,0,0,0,4.75,104,333,50%
1,T. Bigsby,RB,Jax,@Ind,9,0,0,0,7.5,31.4,0.3,1.1,0.9,6.5,0.0,0,0,0.1,3.97,127,338,41%
1,R. Rice,WR,KC,Det,10,0,0,0,0,0,0,4.2,3.1,36.1,0.3,0,0,0,3.95,156,340,40%
1,K. Osborn,WR,Min,TB,13,0,0,0,0.1,0.5,0,4.6,3.1,36.5,0.2,0,0,0,3.94,173,341,10%
1,C. Hubbard,RB,Car,@Atl,7,0,0,0,7.2,28.6,0.2,1.6,1.2,8.7,0.0,0,0,0.1,3.93,162,344,16%
1,D. Chark Jr.,WR,Car,@Atl,7,0,0,0,0,0,0,3.1,1.7,23.2,0.2,0,0,0,2.40,153,346,21%
1,A. Pierce,WR,Ind,Jax,11,0,0,0,0.1,0.3,0,4.5,2.6,35.9,0.3,0,0,0,3.90,193,347,8%
1,D. Singletary,RB,Hou,@Bal,7,0,0,0,6.4,24.3,0.2,2.1,1.4,10.2,0.0,0,0,0.0,3.47,158,348,27%
1,M. Mims Jr.,WR,Den,LV,9,0,0,0,0.1,0.8,0,5.2,3.0,36.8,0.3,0,0,0,4.04,133,349,22%
1,J. Warren,RB,Pit,SF,6,0,0,0,7.1,28.5,0.2,1.9,1.4,10.6,0.1,0,0,0.1,3.86,128,351,37%
1,R. Blackshear,RB,Car,@Atl,7,0,0,0,1.6,6.2,0.0,2.3,1.7,13.0,0.0,0,0,0,3.50,2449,353,0%
